label,category_id,chinese_name,english_name
0,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
1,165,龙牙草（仙鹤草）,Agrimonia eupatoria
2,166,络石（风车茉莉）,Trachelospermum jasminoides
3,167,湖北荚蒾,Eriocapitella hupehensis
4,169,旱金莲,Tropaeolum majus
5,171,白花雪果,Symphoricarpos albus
6,172,吊兰,Chlorophytum comosum
7,173,啤酒花,Humulus lupulus
8,174,白景天,Sedum album
9,176,忍冬（金银花）,Lonicera japonica
10,177,紫花老鹳草,Geranium purpureum
11,178,榆叶黑莓,Rubus ulmifolius
12,179,蓝铃花,Hyacinthoides non-scripta
13,180,熊葱（野蒜）,Allium ursinum
14,183,林生水苏,Stachys sylvatica
15,184,马铃薯（阳芋）,Solanum tuberosum
16,185,玫瑰,Rosa rugosa
17,186,紫花红门兰,Orchis purpurea
18,188,欧洲忍冬,Lonicera xylosteum
19,189,柠檬,Citrus × limon
20,190,血色老鹳草,Geranium sanguineum
21,192,叶子花（三角梅）,Bougainvillea spectabilis
22,193,大麦,Hordeum vulgare
23,194,撒尔维亚叶岩蔷薇,Cistus salviifolius
24,195,罗勒,Ocimum basilicum
25,197,白毛岩蔷薇,Cistus albidus
26,198,喉管草,Campanula trachelium
27,199,欧石楠,Calluna vulgaris
28,200,滨菊,Leucanthemum vulgare
29,201,续随子,Euphorbia lathyris
30,202,荠菜,Capsella bursa-pastoris
31,203,日本小檗（红叶小檗）,Berberis thunbergii
32,204,洋水仙（黄水仙）,Narcissus pseudonarcissus
33,205,甜菜,Beta vulgaris
34,206,黑毛蕊花,Verbascum nigrum
35,207,苹果,Malus domestica
36,208,橙黄花亚菊,Pilosella aurantiaca
37,209,酢浆草（酸味草）,Oxalis corniculata
38,210,白花矾根（墨西哥橘）,Choisya ternata
39,211,欧洲接骨木,Sambucus ebulus
40,212,小老鹳草,Geranium pusillum
41,213,大叶黄杨,Euonymus japonicus
42,214,林地老鹳草,Geranium sylvaticum
43,215,酸橙（苦橙）,Citrus × aurantium
44,216,母菊（洋甘菊）,Matricaria chamomilla
45,217,伤口花,Anthyllis vulneraria
46,218,山矢车菊,Centaurea montana
47,220,盔瓣秋海棠,Begonia cucullata
48,221,海滨千里光,Jacobaea maritima
49,222,泽漆（五朵云）,Euphorbia helioscopia
50,223,草地老鹳草,Geranium pratense
51,224,三色堇,Viola tricolor
52,225,库珀冰叶日中花,Delosperma cooperi
53,226,吊竹梅（斑叶鸭跖草）,Tradescantia zebrina
54,227,除虫菊,Tanacetum parthenium
55,228,香花芥,Hesperis matronalis
56,229,缬草（药用缬草）,Valeriana officinalis
57,230,木瓜海棠（皱皮木瓜）,Chaenomeles speciosa
58,231,假叶树（刺叶树）,Ruscus aculeatus
59,232,细叶还阳参,Crepis capillaris
60,233,绵毛水苏（羊耳朵草）,Stachys byzantina
61,234,四裂荆芥,Galeopsis tetrahit
62,235,普通千里光,Senecio vulgaris
63,236,皱叶酸模,Rumex crispus
64,237,猪殃殃（钝叶拉拉藤）,Galium mollugo
65,238,杏叶大戟,Euphorbia amygdaloides
66,239,斑叶掌裂兰,Dactylorhiza maculata
67,240,欧洲百合,Lilium martagon
68,241,金光菊（黑心菊）,Rudbeckia fulgida
69,242,岩生脐草,Umbilicus rupestris
70,243,猫儿菊,Hypochaeris radicata
71,244,勋章菊,Gazania rigens
72,245,广布野豌豆,Vicia cracca
73,1734,欧鼠李,Rhamnus alaternus
74,1743,欧楂,Cydonia oblonga
75,1747,苹果薄荷,Mentha suaveolens
76,1749,北美鹅掌楸（郁金香树）,Liriodendron tulipifera
77,1750,欧洲梨,Pyrus communis
78,1751,欧洲椴（阔叶椴）,Tilia platyphyllos
79,1759,香桃木,Myrtus communis
80,1765,欧洲赤松,Pinus sylvestris
81,1770,香龙血树（巴西木）,Dracaena fragrans
82,1772,水飞蓟,Silybum marianum
83,1774,栾树,Koelreuteria paniculata
84,1776,欧洲山杨（垂枝桦）,Betula pendula
85,1777,日本木瓜（倭海棠）,Chaenomeles japonica
86,1780,宽叶山黧豆（香豌豆）,Lathyrus latifolius
87,1784,打碗花（篱打碗花）,Calystegia sepium
88,1785,龙舌兰,Agave americana
89,1786,欧洲云杉（挪威云杉）,Picea abies
90,1789,白柳,Salix alba
91,1796,红花接骨木,Sambucus racemosa
92,1797,黄杨,Buxus sempervirens
93,1801,斑点蓼,Persicaria maculosa
94,1805,留兰香（绿薄荷）,Mentha spicata
95,1806,女贞（大叶女贞）,Ligustrum lucidum
96,1808,泽珍珠菜,Lysimachia vulgaris
97,1818,野甘蓝（花椰菜祖先）,Brassica oleracea
98,1827,晚花稠李,Prunus serotina
99,1833,多叶羽扇豆（鲁冰花）,Lupinus polyphyllus
